Method,Query ID,Recipe ID,Evaluator 1,Evaluator 2,Evaluator 3,Evaluator 4,Average Evaluator Score,Average Query Score,Average Difficulty Score,Average Method Score,Difficulty \ Method,TF-IDF,Word2Vec,BERT
TF-IDF,"Q1
Easy Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.7142857143,0.8214285714,0.4841269841,Easy,82.14,53.57,64.29
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,Medium,51.19,55.95,70.24
,,R3,TRUE,TRUE,TRUE,TRUE,1,,,,Hard,11.90,22.62,50.00
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,Overall,48.41,44.05,61.51
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
TF-IDF,"Q2
Easy Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,1,,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R4,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
TF-IDF,"Q3
Easy Difficulty",R1,TRUE,FALSE,FALSE,FALSE,0.25,0.75,,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,TRUE,FALSE,FALSE,TRUE,0.5,,,,,,,
,,R4,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,TRUE,FALSE,TRUE,FALSE,0.5,,,,,,,
TF-IDF,"Q4
Medium Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.5714285714,0.5119047619,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
TF-IDF,"Q5
Medium Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.5357142857,,,,,,
,,R2,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
,,R3,TRUE,FALSE,FALSE,FALSE,0.25,,,,,,,
,,R4,TRUE,FALSE,FALSE,FALSE,0.25,,,,,,,
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,TRUE,FALSE,FALSE,FALSE,0.25,,,,,,,
,,R7,TRUE,FALSE,FALSE,FALSE,0.25,,,,,,,
TF-IDF,"Q6
Medium Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.4285714286,,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
TF-IDF,"Q7
Hard Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.3214285714,0.119047619,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,FALSE,FALSE,TRUE,0.25,,,,,,,
,,R4,TRUE,FALSE,TRUE,TRUE,0.75,,,,,,,
,,R5,TRUE,FALSE,FALSE,FALSE,0.25,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
TF-IDF,"Q8
Hard Difficulty",R1,FALSE,FALSE,FALSE,FALSE,0,0,,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
TF-IDF,"Q9
Hard Difficulty",R1,FALSE,FALSE,FALSE,FALSE,0,0.03571428571,,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,TRUE,FALSE,FALSE,FALSE,0.25,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
Word2Vec,"Q1
Easy Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.4285714286,0.5357142857,0.4404761905,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
Word2Vec,"Q2
Easy Difficulty",R1,FALSE,TRUE,TRUE,TRUE,0.75,0.8571428571,,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,FALSE,TRUE,TRUE,TRUE,0.75,,,,,,,
,,R4,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,TRUE,TRUE,TRUE,FALSE,0.75,,,,,,,
,,R7,TRUE,TRUE,TRUE,FALSE,0.75,,,,,,,
Word2Vec,"Q3
Easy Difficulty",R1,TRUE,TRUE,FALSE,TRUE,0.75,0.3214285714,,,,,,
,,R2,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
,,R3,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
,,R4,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
Word2Vec,"Q4
Medium Difficulty",R1,FALSE,TRUE,FALSE,FALSE,0.25,0.5,0.5595238095,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,TRUE,FALSE,FALSE,0.25,,,,,,,
,,R4,FALSE,TRUE,TRUE,TRUE,0.75,,,,,,,
,,R5,FALSE,TRUE,FALSE,FALSE,0.25,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
Word2Vec,"Q5
Medium Difficulty",R1,TRUE,FALSE,FALSE,FALSE,0.25,0.4285714286,,,,,,
,,R2,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
,,R3,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,TRUE,FALSE,TRUE,TRUE,0.75,,,,,,,
,,R6,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
,,R7,TRUE,TRUE,FALSE,FALSE,0.5,,,,,,,
Word2Vec,"Q6
Medium Difficulty",R1,FALSE,TRUE,FALSE,FALSE,0.25,0.75,,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R4,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
Word2Vec,"Q7
Hard Difficulty",R1,FALSE,TRUE,FALSE,FALSE,0.25,0.03571428571,0.2261904762,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
Word2Vec,"Q8
Hard Difficulty",R1,FALSE,FALSE,FALSE,FALSE,0,0,,,,,,
,,R2,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R3,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
Word2Vec,"Q9
Hard Difficulty",R1,TRUE,TRUE,TRUE,TRUE,1,0.6428571429,,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R4,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
,,R7,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
BERT,"Q1
Easy Difficulty",R1,TRUE,TRUE,FALSE,TRUE,0.75,0.8571428571,0.6428571429,0.6150793651,,,,
,,R2,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
,,R3,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
,,R4,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R7,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
BERT,"Q2
Easy Difficulty",R1,FALSE,FALSE,FALSE,FALSE,0,0.3214285714,,,,,,
,,R2,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R3,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R4,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R5,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R6,FALSE,FALSE,FALSE,FALSE,0,,,,,,,
,,R7,FALSE,TRUE,FALSE,FALSE,0.25,,,,,,,
BERT,"Q3
Easy Difficulty",R1,TRUE,TRUE,FALSE,FALSE,0.5,0.75,,,,,,
,,R2,TRUE,TRUE,TRUE,FALSE,0.75,,,,,,,
,,R3,FALSE,FALSE,TRUE,FALSE,0.25,,,,,,,
,,R4,TRUE,TRUE,FALSE,TRUE,0.75,,,,,,,
,,R5,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
,,R6,TRUE,TRUE,TRUE,TRUE,1,,,,,,,
